0.174493,0.001881,0.175434
0.040037,0.005041,0.042557
0.017982,0.006944,0.021454
0.009237,0.008450,0.013462
0.008760,0.008454,0.012987
0.004922,0.008932,0.009388
0.003302,0.010272,0.008438
0.001836,0.010739,0.007206
0.001672,0.010992,0.007168
0.001717,0.012041,0.007737
0.001876,0.013593,0.008673
0.002064,0.014414,0.009271
0.001755,0.015079,0.009294
0.002432,0.014742,0.009803
0.001954,0.014961,0.009434
0.002118,0.015108,0.009672
0.002588,0.014851,0.010014
0.002664,0.014859,0.010093
0.002041,0.012972,0.008527
0.002147,0.012772,0.008533
0.001899,0.011731,0.007764
0.001822,0.011664,0.007654
0.001560,0.010851,0.006985
0.001921,0.010434,0.007138
0.001630,0.010132,0.006697
0.001736,0.010496,0.006984
0.001508,0.009879,0.006447
0.001509,0.009700,0.006359
0.001626,0.009814,0.006533
0.001599,0.009179,0.006189
0.001204,0.009204,0.005805
0.001455,0.009318,0.006114
0.001357,0.009244,0.005979
0.001295,0.008960,0.005775
0.001289,0.008782,0.005681
0.001357,0.008733,0.005724
0.001449,0.008831,0.005864
0.001078,0.008943,0.005550
0.001393,0.008612,0.005699
0.001326,0.008798,0.005725
0.001359,0.008372,0.005545
0.001074,0.008628,0.005388
0.001290,0.008406,0.005493
0.001291,0.008086,0.005335
0.001201,0.008299,0.005350
0.001099,0.008128,0.005163
0.001209,0.008286,0.005352
0.001159,0.008178,0.005248
0.001244,0.008247,0.005368
0.001278,0.008410,0.005483
0.001247,0.008055,0.005275
0.001038,0.008095,0.005086
0.001130,0.007760,0.005010
0.001236,0.007565,0.005018
0.000939,0.007606,0.004742
0.000932,0.008089,0.004976
0.001199,0.007768,0.005083
0.001042,0.007572,0.004828
0.001063,0.007873,0.005000
0.001458,0.007479,0.005198
0.001085,0.007973,0.005071
0.001362,0.007349,0.005037
0.001210,0.007380,0.004900
0.000989,0.007660,0.004819
0.001021,0.007342,0.004692
0.000957,0.007082,0.004498
0.001066,0.007162,0.004647
0.001499,0.007485,0.005242
0.001226,0.007606,0.005029
0.001070,0.007631,0.004886
0.001220,0.007719,0.005079
0.001034,0.007506,0.004787
0.000946,0.006993,0.004442
0.001171,0.007002,0.004672
0.000896,0.006736,0.004264
0.000966,0.007117,0.004525
0.001021,0.007658,0.004850
0.000958,0.006920,0.004418
0.001364,0.007038,0.004883
0.001068,0.006999,0.004568
0.001073,0.007186,0.004666
0.001040,0.006437,0.004258
0.000901,0.006897,0.004349
0.001059,0.006753,0.004436
0.001417,0.006646,0.004740
0.000957,0.006876,0.004395
0.001523,0.006667,0.004856
0.000923,0.006810,0.004328
0.001053,0.006547,0.004327
0.000941,0.006721,0.004301
0.000801,0.006345,0.003974
0.001092,0.006510,0.004347
0.000838,0.006187,0.003931
0.000854,0.006370,0.004038
0.000980,0.006356,0.004158
0.000871,0.006275,0.004009
0.001502,0.006407,0.004706
0.001047,0.006269,0.004182
0.000939,0.006394,0.004136
0.001149,0.006370,0.004334
